id,name
356,Anuak
357,Denya
358,Anaang
359,Andra-Hus
360,Anyin
361,Anem
362,Angolar
363,Abom
364,Pemon
365,Andarum
366,Angal Enen
367,Bragat
368,Angoram
369,Arma
370,Anindilyakwa
371,Mufian
372,Arhö
373,Alor
374,Ömie
375,Bumbita Arapesh
376,Aore
377,Taikat
378,Atong (India)
379,A'ou
380,Atorada
381,Uab Meto
382,Sa'a
383,North Levantine Arabic
384,Sudanese Arabic
385,Bukiyip
386,Pahanan Agta
387,Ampanang
388,Athpariya
389,Apiaká
390,Jicarilla Apache
391,Kiowa Apache
392,Lipan Apache
393,Mescalero-Chiricahua Apache
394,Apinayé
395,Ambul
396,Apma
397,A-Pucikwar
398,Arop-Lokep
399,Arop-Sissano
400,Apatani
401,Apurinã
402,Alapmunte
403,Western Apache
404,Aputai
405,Apalaí
406,Safeyoka
407,Archi
408,Ampari Dogon
409,Arigidi
410,Atohwaim
411,Northern Alta
412,Atakapa
413,Arhâ
414,Angaité
415,Akuntsu
416,Arabic
417,Standard Arabic
418,Official Aramaic (700-300 BCE)
419,Arabana
420,Western Arrarnta
421,Aragonese
422,Arhuaco
423,Arikara
424,Arapaso
425,Arikapú
426,Arabela
427,Mapudungun
428,Araona
429,Arapaho
430,Algerian Arabic
431,Karo (Brazil)
432,Najdi Arabic
433,Aruá (Amazonas State)
434,Arbore
435,Arawak
436,Aruá (Rodonia State)
437,Moroccan Arabic
438,Egyptian Arabic
439,Asu (Tanzania)
440,Assiniboine
441,Casuarina Coast Asmat
442,American Sign Language
443,Auslan
444,Cishingini
445,Abishira
446,Buruwai
447,Sari
448,Ashkun
449,Asilulu
450,Assamese
451,Xingú Asuriní
452,Dano
453,Algerian Sign Language
454,Austrian Sign Language
455,Asuri
456,Ipulo
457,Asturian
458,Tocantins Asurini
459,Asoa
460,Australian Aborigines Sign Language
461,Muratayak
462,Yaosakor Asmat
463,As
464,Pele-Ata
465,Zaiwa
466,Atsahuaca
467,Ata Manobo
468,Atemble
469,Ivbie North-Okpela-Arhe
470,Attié
471,Atikamekw
472,Ati
473,Mt. Iraya Agta
474,Ata
475,Ashtiani
476,Atong (Cameroon)
477,Pudtol Atta
478,Aralle-Tabulahan
479,Waimiri-Atroari
480,Gros Ventre
481,Pamplona Atta
482,Reel
483,Northern Altai
484,Atsugewi
485,Arutani
486,Aneityum
487,Arta
488,Asumboa
489,Alugu
490,Waorani
491,Anuta
492,Aguna
493,Aushi
494,Anuki
495,Awjilah
496,Heyo
497,Aulua
498,Asu (Nigeria)
499,Molmo One
500,Auyokawa
501,Makayam
502,Anus
503,Aruek
504,Austral
505,Auye
506,Awyi
507,Aurá
508,Awiyaana
509,Uzbeki Arabic
510,Avaric
511,Avau
512,Alviri-Vidari
513,Avestan
514,Avikam
515,Kotava
516,Eastern Egyptian Bedawi Arabic
517,Angkamuthi
518,Avatime
519,Agavotaguerra
520,Aushiri
521,Au
522,Avokaya
523,Avá-Canoeiro
524,Awadhi
525,Awa (Papua New Guinea)
526,Cicipu
527,Awetí
528,Anguthimri
529,Awbono
530,Aekyom
531,Awabakal
532,Arawum
533,Awngi
534,Awak
535,Awera
536,South Awyu
537,Araweté
538,Central Awyu
539,Jair Awyu
540,Awun
541,Awara
542,Edera Awyu
543,Abipon
544,Ayerrerenge
545,Mato Grosso Arára
546,Yaka (Central African Republic)
547,Lower Southern Aranda
548,Middle Armenian
549,Xârâgurè
550,Awar
551,Ayizo Gbe
552,Southern Aymara
553,Ayabadhu
554,Ayere
555,Ginyanga
556,Hadrami Arabic
557,Leyigha
558,Akuku
559,Libyan Arabic
560,Aymara
561,Sanaani Arabic
562,Ayoreo
563,North Mesopotamian Arabic
564,Ayi (Papua New Guinea)
565,Central Aymara
566,Sorsogon Ayta
567,Magbukun Ayta
568,Ayu
569,Tayabas Ayta
570,Mai Brat
571,Azha
572,South Azerbaijani
573,Eastern Durango Nahuatl
574,Azerbaijani
575,San Pedro Amuzgos Amuzgo
576,North Azerbaijani
577,Ipalapa Amuzgo
578,Western Durango Nahuatl
579,Awing
580,Faire Atta
581,Highland Puebla Nahuatl
582,Babatana
583,Bainouk-Gunyuño
584,Badui
585,Baré
586,Nubaca
587,Tuki
588,Bahamas Creole English
589,Barakai
590,Bashkir
591,Baluchi
592,Bambara
593,Balinese
594,Waimaha
595,Bantawa
596,Bavarian
597,Basa (Cameroon)
598,Bada (Nigeria)
599,Vengo
600,Bambili-Bambui
601,Bamun
602,Batuley
603,Baatonum
604,Barai
605,Batak Toba
606,Bau
607,Bangba
608,Baibai
609,Barama
610,Bugan
611,Barombi
612,Ghomálá'
613,Babanki
614,Bats
615,Babango
616,Uneapa
617,Northern Bobo Madaré
618,West Central Banda
619,Bamali
620,Girawa
621,Bakpinka
622,Mburku
623,Kulung (Nigeria)
624,Karnai
625,Baba
626,Bubia
627,Befang
628,Babalia Creole Arabic
629,Central Bai
630,Bainouk-Samik
631,Southern Balochi
632,North Babar
633,Bamenyam
634,Bamu
635,Baga Pokur
636,Bariai
637,Baoulé
638,Bardi
639,Bunuba
640,Central Bikol
641,Bannoni
642,Bali (Nigeria)
643,Kaluli
644,Bali (Democratic Republic of Congo)
645,Bench
646,Babine
647,Kohumono
648,Bendi
649,Awad Bing
650,Shoo-Minda-Nye
651,Bana
652,Bacama
