id,feature_class,feature_code,name,description
131,H,SPNT,hot spring(s),a place where hot ground water flows naturally out of the ground
132,H,STM,stream,a body of running water moving to a lower level in a channel on land
133,H,STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream
134,H,STMB,stream bend,a conspicuously curved or bent segment of a stream
135,H,STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened"
136,H,STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal"
137,H,STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin"
138,H,STMI,intermittent stream,
139,H,STMIX,section of intermittent stream,
140,H,STMM,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea"
141,H,STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns"
142,H,STMS,streams,bodies of running water moving to a lower level in a channel on land
143,H,STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area"
144,H,STMX,section of stream,
145,H,STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water"
146,H,SWMP,swamp,a wetland dominated by tree vegetation
147,H,SYSI,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc."
148,H,TNLC,canal tunnel,a tunnel through which a canal passes
149,H,WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East"
150,H,WADB,wadi bend,a conspicuously curved or bent segment of a wadi
151,H,WADJ,wadi junction,a place where two or more wadies join
152,H,WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody"
153,H,WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East"
154,H,WADX,section of wadi,
155,H,WHRL,whirlpool,"a turbulent, rotating movement of water in a stream"
156,H,WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
157,H,WLLQ,abandoned well,
158,H,WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface"
159,H,WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation"
160,H,WTLDI,intermittent wetland,
161,H,WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water"
162,H,WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas"
163,L,AGRC,agricultural colony,a tract of land set aside for agricultural settlement
164,L,AMUS,amusement park,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location"
165,L,AREA,area,a tract of land without homogeneous character or boundaries
166,L,BSND,drainage basin,an area drained by a stream
167,L,BSNP,petroleum basin,an area underlain by an oil-rich structural basin
168,L,BTL,battlefield,a site of a land battle of historical importance
169,L,CLG,clearing,an area in a forest with trees removed
170,L,CMN,common,a park or pasture for community use
171,L,CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry"
172,L,COLF,coalfield,a region in which coal deposits of possible economic value occur
173,L,CONT,continent,"continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica"
174,L,CST,coast,a zone of variable width straddling the shoreline
175,L,CTRB,business center,a place where a number of businesses are located
176,L,DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan
177,L,FLD,field(s),an open as opposed to wooded area
178,L,FLDI,irrigated field(s),a tract of level or terraced land which is irrigated
179,L,GASF,gasfield,an area containing a subterranean store of natural gas of economic value
180,L,GRAZ,grazing area,an area of grasses and shrubs used for grazing
181,L,GVL,gravel area,an area covered with gravel
182,L,INDS,industrial area,an area characterized by industrial activity
183,L,LAND,arctic land,a tract of land in the Arctic
184,L,LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries
185,L,MILB,military base,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated"
186,L,MNA,mining area,an area of mine sites where minerals and ores are extracted
187,L,MVA,maneuver area,a tract of land where military field exercises are carried out
188,L,NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated"
189,L,OAS,oasis(-es),an area in a desert made productive by the availability of water
190,L,OILF,oilfield,an area containing a subterranean store of petroleum of economic value
191,L,PEAT,peat cutting area,an area where peat is harvested
192,L,PRK,park,"an area, often of forested land, maintained as a place of beauty, or for recreation"
193,L,PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor"
194,L,QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink"
195,L,RES,reserve,a tract of public land reserved for future use or restricted as to use
196,L,RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development
197,L,RESF,forest reserve,a forested area set aside for preservation or controlled use
