id,season_id,round,position,points,wins
1,1,7,1,30.0,3
2,1,7,2,27.0,3
3,1,7,3,24.0,0
4,1,7,4,13.0,0
5,1,7,5,11.0,0
6,1,7,6,9.0,1
7,1,7,7,6.0,0
8,1,7,8,5.0,0
9,1,7,9,4.0,0
10,1,7,10,4.0,0
11,1,7,11,4.0,0
12,1,7,12,4.0,0
13,1,7,13,3.0,0
14,1,7,14,3.0,0
15,1,7,15,3.0,0
16,1,7,16,3.0,0
17,1,7,17,3.0,0
18,1,7,18,3.0,0
19,1,7,19,2.0,0
20,1,7,20,1.0,0
21,1,7,21,1.0,0
22,1,7,22,1.0,0
23,1,7,,0.0,0
24,1,7,,0.0,0
25,1,7,,0.0,0
26,1,7,,0.0,0
27,1,7,,0.0,0
28,1,7,,0.0,0
29,1,7,,0.0,0
30,1,7,,0.0,0
31,1,7,,0.0,0
32,1,7,,0.0,0
33,1,7,,0.0,0
34,1,7,,0.0,0
35,1,7,,0.0,0
36,1,7,,0.0,0
37,1,7,,0.0,0
38,1,7,,0.0,0
39,1,7,,0.0,0
40,1,7,,0.0,0
41,1,7,,0.0,0
42,1,7,,0.0,0
43,1,7,,0.0,0
44,1,7,,0.0,0
45,1,7,,0.0,0
46,1,7,,0.0,0
47,1,7,,0.0,0
48,1,7,,0.0,0
49,1,7,,0.0,0
50,1,7,,0.0,0
51,1,7,,0.0,0
52,1,7,,0.0,0
53,1,7,,0.0,0
54,1,7,,0.0,0
55,1,7,,0.0,0
56,1,7,,0.0,0
57,1,7,,0.0,0
58,1,7,,0.0,0
59,1,7,,0.0,0
60,1,7,,0.0,0
61,1,7,,0.0,0
62,1,7,,0.0,0
63,1,7,,0.0,0
64,1,7,,0.0,0
65,1,7,,0.0,0
66,1,7,,0.0,0
67,1,7,,0.0,0
68,1,7,,0.0,0
69,1,7,,0.0,0
70,1,7,,0.0,0
71,1,7,,0.0,0
72,1,7,,0.0,0
73,1,7,,0.0,0
74,1,7,,0.0,0
75,1,7,,0.0,0
76,1,7,,0.0,0
77,1,7,,0.0,0
78,1,7,,0.0,0
79,1,7,,0.0,0
80,1,7,,0.0,0
81,1,7,,0.0,0
82,2,8,1,31.0,3
83,2,8,2,25.0,2
84,2,8,3,24.0,1
85,2,8,4,19.0,1
86,2,8,5,15.0,0
87,2,8,6,10.0,0
88,2,8,7,9.0,1
89,2,8,8,7.0,0
90,2,8,9,6.0,0
91,2,8,10,5.0,0
92,2,8,11,4.0,1
93,2,8,12,3.0,0
94,2,8,13,3.0,0
95,2,8,14,3.0,0
96,2,8,15,2.0,0
97,2,8,16,2.0,0
98,2,8,17,2.0,0
99,2,8,18,2.0,0
100,2,8,19,2.0,0
101,2,8,,0.0,0
102,2,8,,0.0,0
103,2,8,,0.0,0
104,2,8,,0.0,0
105,2,8,,0.0,0
106,2,8,,0.0,0
107,2,8,,0.0,0
108,2,8,,0.0,0
109,2,8,,0.0,0
110,2,8,,0.0,0
111,2,8,,0.0,0
112,2,8,,0.0,0
113,2,8,,0.0,0
114,2,8,,0.0,0
115,2,8,,0.0,0
116,2,8,,0.0,0
117,2,8,,0.0,0
118,2,8,,0.0,0
119,2,8,,0.0,0
120,2,8,,0.0,0
121,2,8,,0.0,0
122,2,8,,0.0,0
123,2,8,,0.0,0
124,2,8,,0.0,0
125,2,8,,0.0,0
126,2,8,,0.0,0
127,2,8,,0.0,0
128,2,8,,0.0,0
129,2,8,,0.0,0
130,2,8,,0.0,0
131,2,8,,0.0,0
132,2,8,,0.0,0
133,2,8,,0.0,0
134,2,8,,0.0,0
135,2,8,,0.0,0
136,2,8,,0.0,0
137,2,8,,0.0,0
138,2,8,,0.0,0
139,2,8,,0.0,0
140,2,8,,0.0,0
141,2,8,,0.0,0
142,2,8,,0.0,0
143,2,8,,0.0,0
144,2,8,,0.0,0
145,2,8,,0.0,0
146,2,8,,0.0,0
147,2,8,,0.0,0
148,2,8,,0.0,0
149,2,8,,0.0,0
150,2,8,,0.0,0
151,2,8,,0.0,0
152,2,8,,0.0,0
153,2,8,,0.0,0
154,2,8,,0.0,0
155,2,8,,0.0,0
156,2,8,,0.0,0
157,2,8,,0.0,0
158,2,8,,0.0,0
159,2,8,,0.0,0
160,2,8,,0.0,0
161,2,8,,0.0,0
162,2,8,,0.0,0
163,2,8,,0.0,0
164,2,8,,0.0,0
165,2,8,,0.0,0
166,3,8,1,36.0,6
167,3,8,2,24.0,0
168,3,8,3,22.0,1
169,3,8,4,10.0,0
170,3,8,5,10.0,0
171,3,8,6,9.0,0
172,3,8,7,8.0,1
173,3,8,8,8.0,0
174,3,8,9,6.5,0
175,3,8,10,6.0,0
176,3,8,11,6.0,0
177,3,8,12,4.0,0
178,3,8,13,3.0,0
179,3,8,14,3.0,0
180,3,8,15,3.0,0
181,3,8,16,2.0,0
182,3,8,17,2.0,0
183,3,8,18,2.0,0
184,3,8,19,2.0,0
185,3,8,20,2.0,0
186,3,8,21,2.0,0
187,3,8,22,1.0,0
188,3,8,,0.0,0
189,3,8,,0.0,0
190,3,8,,0.0,0
191,3,8,,0.0,0
192,3,8,,0.0,0
193,3,8,,0.0,0
194,3,8,,0.0,0
195,3,8,,0.0,0
196,3,8,,0.0,0
197,3,8,,0.0,0
198,3,8,,0.0,0
199,3,8,,0.0,0
200,3,8,,0.0,0
201,3,8,,0.0,0
202,3,8,,0.0,0
203,3,8,,0.0,0
204,3,8,,0.0,0
205,3,8,,0.0,0
206,3,8,,0.0,0
207,3,8,,0.0,0
208,3,8,,0.0,0
209,3,8,,0.0,0
210,3,8,,0.0,0
211,3,8,,0.0,0
212,3,8,,0.0,0
213,3,8,,0.0,0
214,3,8,,0.0,0
215,3,8,,0.0,0
216,3,8,,0.0,0
217,3,8,,0.0,0
218,3,8,,0.0,0
219,3,8,,0.0,0
220,3,8,,0.0,0
221,3,8,,0.0,0
222,3,8,,0.0,0
223,3,8,,0.0,0
224,3,8,,0.0,0
225,3,8,,0.0,0
226,3,8,,0.0,0
227,3,8,,0.0,0
228,3,8,,0.0,0
229,3,8,,0.0,0
230,3,8,,0.0,0
231,3,8,,0.0,0
232,3,8,,0.0,0
233,3,8,,0.0,0
234,3,8,,0.0,0
235,3,8,,0.0,0
236,3,8,,0.0,0
237,3,8,,0.0,0
238,3,8,,0.0,0
239,3,8,,0.0,0
240,3,8,,0.0,0
241,3,8,,0.0,0
242,3,8,,0.0,0
243,3,8,,0.0,0
244,3,8,,0.0,0
245,3,8,,0.0,0
246,3,8,,0.0,0
247,3,8,,0.0,0
248,3,8,,0.0,0
249,3,8,,0.0,0
250,3,8,,0.0,0
251,3,8,,0.0,0
252,3,8,,0.0,0
253,3,8,,0.0,0
254,3,8,,0.0,0
255,3,8,,0.0,0
256,3,8,,0.0,0
257,3,8,,0.0,0
258,3,8,,0.0,0
259,3,8,,0.0,0
260,3,8,,0.0,0
261,3,8,,0.0,0
262,3,8,,0.0,0
263,3,8,,0.0,0
264,3,8,,0.0,0
265,3,8,,0.0,0
266,4,9,1,34.5,5
267,4,9,2,28.0,1
268,4,9,3,26.0,1
269,4,9,4,19.0,1
270,4,9,5,17.0,0
271,4,9,6,13.5,0
272,4,9,7,9.0,1
273,4,9,8,7.0,0
274,4,9,9,6.5,0
275,4,9,10,6.0,0
276,4,9,11,4.0,0
277,4,9,12,4.0,0
278,4,9,13,2.0,0
279,4,9,14,2.0,0
280,4,9,15,2.0,0
281,4,9,16,2.0,0
282,4,9,17,2.0,0
283,4,9,18,1.5,0
284,4,9,19,1.5,0
285,4,9,,0.0,0
286,4,9,,0.0,0
287,4,9,,0.0,0
288,4,9,,0.0,0
289,4,9,,0.0,0
290,4,9,,0.0,0
291,4,9,,0.0,0
292,4,9,,0.0,0
293,4,9,,0.0,0
294,4,9,,0.0,0
295,4,9,,0.0,0
296,4,9,,0.0,0
297,4,9,,0.0,0
298,4,9,,0.0,0
299,4,9,,0.0,0
300,4,9,,0.0,0
301,4,9,,0.0,0
302,4,9,,0.0,0
303,4,9,,0.0,0
